199,C00541425,CITIZENS FOR AMERICA'S FUTURE,QUARTERLY FILER
200,C00566299,CITIZENS FOR CHANGE,QUARTERLY FILER
201,C00515346,"CITIZENS FOR CONSERVATIVE LEADERSHIP, INC.",QUARTERLY FILER
202,C00509075,CITIZENS FOR PROSPERITY AND GOOD GOVERNMENT,QUARTERLY FILER
203,C00543066,CITIZENS FOR RESPONSIBLE GOVERNMENT,QUARTERLY FILER
204,C00561480,CITIZENS FOR RESPONSIBLE LEADERSHIP,QUARTERLY FILER
205,C00488429,CITIZENS FOR STRENGTH AND SECURITY PAC,QUARTERLY FILER
206,C00496927,CITIZENS PROTEST NON PROFIT INC,QUARTERLY FILER
207,C00544528,CITIZENS UNITED FOR EDUCATION,QUARTERLY FILER
208,C00497420,CITIZENS UNITED SUPER PAC LLC,QUARTERLY FILER
209,C00550566,CIVIC INNOVATION USA INC,QUARTERLY FILER
210,C00528158,CIVIL LIBERTIES ASSAULT FUND,QUARTERLY FILER
211,C00553669,CIVIL LIBERTY UNITED,QUARTERLY FILER
212,C00551788,CLEANSLATENOW.ORG,QUARTERLY FILER
213,C00552125,CLEAR THE WAY,QUARTERLY FILER
214,C00513556,CLERMONT COUNTY REPUBLICAN LEADERSHIP PAC,QUARTERLY FILER
215,C00548461,CLIMATE HAWKS VOTE,QUARTERLY FILER
216,C00487470,CLUB FOR GROWTH ACTION,MONTHLY FILER
217,C00506113,COALITION FOR AMERICAN VALUES PAC,QUARTERLY FILER
218,C00567644,COALITION FOR AMERICAN VETERANS,QUARTERLY FILER
219,C00555540,COALITION FOR KENTUCKY JOB CREATION,QUARTERLY FILER
220,C00567065,COALITION FOR OHIO'S FUTURE,QUARTERLY FILER
221,C00493486,COALITION OF AMERICANS FOR POLITICAL EQUALITY,QUARTERLY FILER
222,C00526830,COLORADO HORSE ASSOCIATION,QUARTERLY FILER
223,C00569269,COLORADO PRIORITIES,QUARTERLY FILER
224,C00548016,COMMITTEE FOR ECONOMIC GROWTH AND SOCIAL JUSTICE,QUARTERLY FILER
225,C00526442,COMMITTEE FOR JUSTICE & FAIRNESS PAC,QUARTERLY FILER
226,C00569137,COMMITTEE FOR SAFE NEIGHBORHOODS AND LOWER TAXES PAC,QUARTERLY FILER
227,C00569822,COMMITTEE FOR URBAN REVITALIZATION,QUARTERLY FILER
228,C00549386,COMMITTEE TO ELECT A PROGRESSIVE CONGRESS,QUARTERLY FILER
229,C00569228,COMMITTEE TO ELECT AN INDEPENDENT SENATE,QUARTERLY FILER
230,C00531673,COMMITTEE TO PROTECT AMERICA'S ALLIES,QUARTERLY FILER
231,C00564583,COMMON SENSE CONSERVATIVE COMMITTEE,QUARTERLY FILER
232,C00562249,COMMON SENSE FOR AMERICANS PAC,QUARTERLY FILER
233,C00567214,COMMONWEALTH COMMON SENSE,QUARTERLY FILER
234,C00488486,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,QUARTERLY FILER
235,C00570531,COMMUNITIES APPLIED POLICY STRATEGIES,QUARTERLY FILER
236,C00549857,COMMUNITY COALITION,QUARTERLY FILER
237,C00525899,CONCERNED AMERICAN VOTERS,QUARTERLY FILER
238,C00488437,CONCERNED TAXPAYERS OF AMERICA,QUARTERLY FILER
239,C00523076,CONCERNED VOTERS FOR THE ARTS PAC,QUARTERLY FILER
240,C00568519,CONCRETE AND PORTLAND CEMENT ACTION NETWORK,QUARTERLY FILER
241,C00504530,CONGRESSIONAL LEADERSHIP FUND,QUARTERLY FILER
242,C00526871,CONNECTICUT HORSE ASSOCIATION,QUARTERLY FILER
243,C00563627,CONNECTICUT TAXPAYERS ALLIANCE,QUARTERLY FILER
244,C00524751,CONNECTICUT'S FUTURE PAC INC,QUARTERLY FILER
245,C00568816,CONSERVATION VOTERS OF MICHIGAN PAC - FEDERAL ACCOUNT,QUARTERLY FILER
246,C00522227,CONSERVATIVE ACTION COMMITTEE,QUARTERLY FILER
247,C00569756,CONSERVATIVE LEADER REVIEW PAC,QUARTERLY FILER
248,C00510727,CONSERVATIVE RENEWAL POLITICAL ACTION COMMITTEE (PAC),QUARTERLY FILER
249,C00541292,CONSERVATIVE SOLUTIONS PAC,QUARTERLY FILER
250,C00542456,CONSERVATIVE STRIKEFORCE SUPER PAC,QUARTERLY FILER
251,C00557595,CONSERVATIVE WARCHEST PAC,QUARTERLY FILER
252,C00518779,CONSERVATIVES ACTING TOGETHER POLITICAL ACTION COMMITTEE (CATPAC),QUARTERLY FILER
253,C00569665,CONSTITUTIONAL VETERANS FOR FREEDOM SUPER PAC,QUARTERLY FILER
254,C00492116,COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE,MONTHLY FILER
255,C00561605,CORE VALUES POLITICAL ACTION COMMITTEE,QUARTERLY FILER
256,C00566778,COUNTERPAC,MONTHLY FILER
257,C00523498,COURAGE CAMPAIGN SUPER PAC,QUARTERLY FILER
258,C00561290,CRA LEADERSHIP PAC,QUARTERLY FILER
